,porsche_model,starting_price
0,718 Cayman,"From $ 63,400*"
1,718 Boxster,"From $ 65,500*"
2,718 Cayman T,"From $ 72,500*"
3,718 Boxster T,"From $ 74,600*"
4,718 Cayman S,"From $ 75,400*"
5,718 Boxster S,"From $ 77,500*"
6,718 Cayman GTS 4.0,"From $ 90,300*"
7,718 Boxster GTS 4.0,"From $ 92,400*"
8,718 Cayman GT4,"From $ 106,500*"
9,718 Spyder,"From $ 103,400*"
10,718 Cayman GT4 RS,"From $ 149,100*"
11,911 Carrera,"From $ 106,100*"
12,911 Carrera Cabriolet,"From $ 118,900*"
13,911 Carrera 4,"From $ 113,400*"
14,911 Carrera 4 Cabriolet,"From $ 126,200*"
15,911 Carrera S,"From $ 123,000*"
16,911 Carrera S Cabriolet,"From $ 135,800*"
17,911 Carrera 4S,"From $ 130,300*"
18,911 Carrera 4S Cabriolet,"From $ 143,100*"
19,911 Targa 4,"From $ 126,200*"
20,911 Targa 4S,"From $ 143,100*"
21,911 Carrera GTS,"From $ 142,600*"
22,911 Carrera GTS Cabriolet,"From $ 155,400*"
23,911 Carrera 4 GTS,"From $ 149,900*"
24,911 Carrera 4 GTS Cabriolet,"From $ 162,700*"
25,911 Targa 4 GTS,"From $ 162,700*"
26,911 Edition 50 Years Porsche Design,"From $ 186,200*"
27,911 Turbo,"From $ 182,900*"
28,911 Turbo Cabriolet,"From $ 195,700*"
29,911 Turbo S,"From $ 216,100*"
30,911 Turbo S Cabriolet,"From $ 228,900*"
31,911 GT3,"From $ 169,700*"
32,911 GT3 with Touring Package,"From $ 169,700*"
33,911 GT3 RS,"From $ 223,800*"
34,911 Sport Classic,"From $ 272,300*"
35,Taycan,"From $ 86,700*"
36,Taycan 4 Cross Turismo,"From $ 97,700*"
37,Taycan 4S,"From $ 106,500*"
38,Taycan 4S Cross Turismo,"From $ 113,000*"
39,Taycan GTS,"From $ 134,100*"
40,Taycan GTS Sport Turismo,"From $ 136,000*"
41,Taycan Turbo,"From $ 153,300*"
42,Taycan Turbo Cross Turismo,"From $ 155,900*"
43,Taycan Turbo S,"From $ 187,400*"
44,Taycan Turbo S Cross Turismo,"From $ 190,000*"
45,Panamera,"From $ 92,400*"
46,Panamera Platinum Edition,"From $ 105,100*"
47,Panamera 4,"From $ 97,000*"
48,Panamera 4 Platinum Edition,"From $ 109,300*"
49,Panamera 4 Executive,"From $ 103,700*"
50,Panamera 4 Sport Turismo,"From $ 103,200*"
51,Panamera 4S,"From $ 110,900*"
52,Panamera 4S Executive,"From $ 122,200*"
53,Panamera 4S Sport Turismo,"From $ 117,100*"
54,Panamera 4 E-Hybrid,"From $ 109,000*"
55,Panamera 4 E-Hybrid Platinum Edition,"From $ 118,800*"
56,Panamera 4 E-Hybrid Executive,"From $ 113,500*"
57,Panamera 4 E-Hybrid Sport Turismo,"From $ 113,000*"
58,Panamera 4S E-Hybrid,"From $ 119,200*"
59,Panamera 4S E-Hybrid Executive,"From $ 130,500*"
60,Panamera 4S E-Hybrid Sport Turismo,"From $ 123,200*"
61,Panamera GTS,"From $ 135,200*"
62,Panamera GTS Sport Turismo,"From $ 141,400*"
63,Panamera Turbo S,"From $ 186,400*"
64,Panamera Turbo S Executive,"From $ 196,800*"
65,Panamera Turbo S Sport Turismo,"From $ 190,400*"
66,Panamera Turbo S E-Hybrid,"From $ 196,400*"
67,Panamera Turbo S E-Hybrid Executive,"From $ 206,800*"
68,Panamera Turbo S E-Hybrid Sport Turismo,"From $ 200,400*"
69,Macan,"From $ 57,500*"
70,Macan T,"From $ 63,100*"
71,Macan S,"From $ 68,400*"
72,Macan GTS,"From $ 82,900*"
73,Cayenne,"From $ 72,200*"
74,Cayenne Platinum Edition,"From $ 80,400*"
75,Cayenne Coupe,"From $ 80,700*"
76,Cayenne Coupe Platinum Edition,"From $ 84,800*"
77,Cayenne E-Hybrid,"From $ 86,500*"
78,Cayenne E-Hybrid Platinum Edition,"From $ 94,400*"
79,Cayenne E-Hybrid Coupe,"From $ 91,800*"
80,Cayenne E-Hybrid Coupe Platinum Edition,"From $ 95,500*"
81,Cayenne S,"From $ 90,900*"
82,Cayenne S Platinum Edition,"From $ 95,100*"
83,Cayenne S Coupe,"From $ 95,200*"
84,Cayenne S Coupe Platinum Edition,"From $ 97,300*"
85,Cayenne GTS,"From $ 113,100*"
86,Cayenne GTS Coupe,"From $ 115,800*"
87,Cayenne Turbo,"From $ 135,900*"
88,Cayenne Turbo Coupe,"From $ 139,500*"
89,Cayenne Turbo S E-Hybrid,"From $ 171,300*"
90,Cayenne Turbo S E-Hybrid Coupe,"From $ 173,800*"
91,Cayenne Turbo GT,"From $ 188,700*"
